งบรายรับรายจ่าย,,,จัดการเรียบร้อย,,,
รายรับ,เงินเดือน + เสริม 5000,"44,900",,,,
,โดนัท (800+500) + เบิร์น 3250 + เหลือ,"4,550",,,,
รายจ่ายประจำ,ให้แม่,"2,000",,,,
,ค่ากิน (รวม โอนเข้าบัญชีโดนัท),"3,000",,,,
,ค่าน้ำมัน (รวม โอนเข้าบัญชีโดนัท),"1,000",,,,
,ค่าผ่อนบ้าน,"13,500",,,,
,ค่าเหมียว-โยดา-โยจิ,"2,500",,฿20.00,,
,ค่ากิน,"3,000",,,,
,Coway,600,,,,
,ค่าเน็ต,500,,,,
,,,,,,
,,,,,,
,,,,ช===,,
รายจ่ายผันแปร,บัตร Kplus ทั่วไป 1500,"1,500",,,,
,Shopee,"3,724",,,,
,บัตร KTC,"11,305",,,,
,บัตร UOB,"5,367",,,,
,แว่นใหม่ 4/4,"3,000",,,,
เงินคงเหลือ,,"-1,546",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
  ,,,,,,
